Date,Stock Price Breadth
2021-11-15,1272.848213449723
2021-11-16,1264.699477959544
2021-11-17,1235.2821249592303
2021-11-18,1187.0821795000732
2021-11-19,1120.7468507328065
2021-11-22,1068.0465774232557
2021-11-23,1028.2911469520516
2021-11-24,1000.4293828748415
2021-11-26,934.9765852167252
2021-11-29,878.6159817776991
2021-11-30,791.454390955532
2021-12-01,686.0604826021795
2021-12-02,632.1733590898184
2021-12-03,563.8168041098768
2021-12-06,537.4270440915561
2021-12-07,550.4483519356734
2021-12-08,577.0663650036655
2021-12-09,576.8337723565816
2021-12-10,582.11921989815
2021-12-13,562.2433785990792
2021-12-14,532.42652620384
2021-12-15,522.2290455148833
2021-12-16,514.6280293005644
2021-12-17,497.21331797263684
2021-12-20,451.10548718823475
2021-12-21,450.6279629583729
2021-12-22,477.5493869909667
2021-12-23,525.670869381287
2021-12-27,589.621831592637
2021-12-28,640.6687583322342
2021-12-29,680.5673601597807
2021-12-30,722.1491314179152
2021-12-31,758.2905434380292
2022-01-03,807.5802799584594
2022-01-04,865.3015827308041
2022-01-05,887.9544046491203
2022-01-06,913.8833717302258
2022-01-07,947.6698738242163
2022-01-10,964.721272911416
2022-01-11,1009.9485088484768
2022-01-12,1056.1277532641682
2022-01-13,1087.7245909109236
2022-01-14,1113.2780063306006
2022-01-18,1099.7969493004546
2022-01-19,1065.2313802451301
2022-01-20,1005.8936680676793
2022-01-21,917.0891199868524
2022-01-24,837.9322777834722
2022-01-25,763.9546319906375
2022-01-26,684.9171785253039
2022-01-27,600.5040403786035
2022-01-28,554.5787997284912
2022-01-31,547.4643516318312
2022-02-01,568.9956514710559
2022-02-02,588.8255783880041
2022-02-03,574.2259569942149
2022-02-04,570.3912201697459
2022-02-07,576.5420212954987
2022-02-08,600.4195167917419
2022-02-09,653.0002878379845
2022-02-10,674.5001803104362
2022-02-11,676.7041095838291
2022-02-14,652.6664710567957
2022-02-15,662.0675855255301
2022-02-16,676.7292417408938
2022-02-17,661.497685685373
2022-02-18,632.1415468324906
2022-02-22,577.3585213391523
2022-02-23,506.59365752012746
2022-02-24,449.5957584560518
2022-02-25,437.0852795888166
2022-02-28,418.73088057519726
2022-03-01,386.50458032625016
2022-03-02,394.49180009667066
2022-03-03,393.45588526199737
2022-03-04,379.8595675476007
2022-03-07,345.42689368241486
2022-03-08,329.5187814830403
2022-03-09,344.5238496203664
2022-03-10,356.8631472514046
2022-03-11,339.4993333782784
2022-03-14,306.4181915427276
2022-03-15,306.4958184509033
2022-03-16,342.01734271715105
2022-03-17,402.29318074250557
2022-03-18,468.7775889336458
2022-03-21,520.0366684654057
2022-03-22,585.6728069870726
2022-03-23,631.3571772403694
2022-03-24,696.1438871917549
2022-03-25,765.7906578202312
2022-03-28,824.5383670938038
2022-03-29,904.4995777649016
2022-03-30,960.96708907273
2022-03-31,977.1867369321906
2022-04-01,1011.3179978078559
2022-04-04,1049.4421960603634
2022-04-05,1051.2590328517363
2022-04-06,1035.364799986125
2022-04-07,1013.3469138169929
2022-04-08,1002.8079247336901
2022-04-11,978.6820848465669
2022-04-12,949.412889813257
2022-04-13,957.1625810137599
2022-04-14,947.4655975953472
2022-04-18,929.9386086768919
2022-04-19,938.2670941537207
2022-04-20,956.6908836232949
2022-04-21,937.8405215713858
2022-04-22,879.889229691445
2022-04-25,828.316829559214
2022-04-26,744.8826465864013
